scenario,period_scenario,mode,simulation_time,intersection_id,edge_id,vehicles,queue,waiting_time,speed_kmh,traffic_flow,congestion,signal_phase,phase_state
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1206.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27116790#3,3,3,39.67,0.0,0,HIGH,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1206.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,372646899#12,3,3,17.33,0.0,0,MEDIUM,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1206.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27117517#9,2,0,0.0,10.76,0,LOW,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1206.0,joinedS_2705384848_3138462214,-1274948100,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1206.0,joinedS_2705384848_3138462214,27168100#6,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1206.0,joinedS_2705384848_3138462214,304646598#0,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1206.0,joinedS_2705384848_3138462214,-1305352759#0,0,0,0.0,50.0,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1206.0,joinedS_2705384848_3138462214,1274942164,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1206.0,joinedS_2705384848_3138462214,1274948100,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,cluster_2683490405_298938456,1212699691#3,0,0,0.0,100.01,0,LOW,3,rrrrrrryyy
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,cluster_2683490405_298938456,372646899#19,4,3,8.5,14.8,1,MEDIUM,3,rrrrrrryyy
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,cluster_2683490405_298938456,304646594#1,0,0,0.0,79.99,0,LOW,3,rrrrrrryyy
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,304334916#4,3,2,10.33,6.73,0,MEDIUM,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,262683844#4,0,0,0.0,40.0,0,LOW,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27116790#3,3,1,20.67,5.44,0,MEDIUM,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,372646899#12,3,3,18.33,0.0,0,MEDIUM,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27117517#9,1,0,0.0,24.23,-1,LOW,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,joinedS_2705384848_3138462214,-1274948100,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,joinedS_2705384848_3138462214,27168100#6,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,joinedS_2705384848_3138462214,304646598#0,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,joinedS_2705384848_3138462214,-1305352759#0,0,0,0.0,50.0,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,joinedS_2705384848_3138462214,1274942164,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1207.0,joinedS_2705384848_3138462214,1274948100,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,cluster_2683490405_298938456,1212699691#3,0,0,0.0,100.01,0,LOW,3,rrrrrrryyy
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,cluster_2683490405_298938456,372646899#19,4,3,9.25,14.65,0,MEDIUM,3,rrrrrrryyy
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,cluster_2683490405_298938456,304646594#1,0,0,0.0,79.99,0,LOW,3,rrrrrrryyy
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,304334916#4,3,2,11.0,1.73,0,MEDIUM,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,262683844#4,0,0,0.0,40.0,0,LOW,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27116790#3,3,1,21.0,10.58,0,MEDIUM,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,372646899#12,3,3,19.33,0.0,0,MEDIUM,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27117517#9,1,0,0.0,24.8,0,LOW,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,joinedS_2705384848_3138462214,-1274948100,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,joinedS_2705384848_3138462214,27168100#6,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,joinedS_2705384848_3138462214,304646598#0,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,joinedS_2705384848_3138462214,-1305352759#0,0,0,0.0,50.0,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,joinedS_2705384848_3138462214,1274942164,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1208.0,joinedS_2705384848_3138462214,1274948100,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,cluster_2683490405_298938456,1212699691#3,0,0,0.0,100.01,0,LOW,3,rrrrrrryyy
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,cluster_2683490405_298938456,372646899#19,5,3,8.0,20.84,1,MEDIUM,3,rrrrrrryyy
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,cluster_2683490405_298938456,304646594#1,0,0,0.0,79.99,0,LOW,3,rrrrrrryyy
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,304334916#4,3,2,11.67,0.76,0,MEDIUM,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,262683844#4,0,0,0.0,40.0,0,LOW,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27116790#3,3,1,21.33,1.55,0,MEDIUM,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,372646899#12,3,3,20.33,0.0,0,MEDIUM,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27117517#9,1,0,0.0,26.5,0,LOW,4,rrrrrrGGGgggrrrrrrrrrrrrGGGGgg
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,joinedS_2705384848_3138462214,-1274948100,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,joinedS_2705384848_3138462214,27168100#6,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,NORMAL,FIXED,1209.0,joinedS_2705384848_3138462214,304646598#0,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
